#SOQ-Calgary=0,82401
#PQ=SOQ-Calgary
#Folder=H:\Manufacturing\Projects\ACTIVE PROJECTS\600 Broadway 002-16883\3 Production\600 Broadway_22Jan14_MSGR_ICElink_EJ.csv
#IceBox_Version=2.7.0.39
#ICE_Filename=600 Broadway-DIRTT Shop Drawing 011714(brk).ice
#Date_Exported=20140122-0902
#ICE_ExportUsername=William Tabashniuk
#Report=MSGR
#MAS_Reference_No=002-16883
#PO_Number=null
#Ship_Date=null
#Date_Started=2007-03-08
#ICE_Creator=Bill Marchand
#Filter=null
#SFN_Currency=USD $
#HQ=0
#----- Summary -----
#Counts|||||Door Count|Total Wall Length(ft)
#|||||1|3.83
#
#Walls | Name ||||| Count | Length (ft)| SFN/ft | SFN
#| ArchSegment |||||1|3.83|320.79|320.79|1229.71|1229.71
#Intersections | Name ||||| Count |  |  | SFN
#
#This summary does not include items such as ceiling tracks, trims, and zippers. This is not a total SFN for this job|  |||||  |
#
#Project Notes:
#ALL FRAME PROFILES:  RECTILINEAR + (2) PIECES
#SEISMIC: NOT REQUIRED
#FRAME FINISH: ANODIZED
#BASE TRIM FINISH:
#FLOOR TYPE(S):
#SEGMENTS WITH
#
#SPIDER_ELECTRICAL_LEVEL:
#SPIDER_TRIM_COLOR:
#FACEPLATE_STYLE:
#CONVENTIONAL_ELECTRICAL_LEVEL:
#PVC_COLOR_GLASSWIPE: Silver (5)
#PVC_COLOR_ZIPPERS:
#ELEC=
#
#
#DWL_BD_Barivot_DoorPull_30CC |1
#
#MULTIPLE CEILING HEIGHTS: NO
#CEILING HEIGHTS: 0.0
#CEILING CONDITION:
#CEILING TILE TYPE:
#ELECTRICAL TYPES:
#ELECTRICAL LEVELS:
#ELECTRICAL LEVEL - MODULAR:
#ELECTRICAL LEVEL - CONVENTIONAL:
#
#
#HIGHEST TAGS
#F4
#TFJ1
#BD3
#BDT3
#MFT12
#C1
#HHS1
#InstallDwg1
#BDP1
#HW2
#Z2
#END HIGHEST TAGS
AlternateOptionID|ShipAssyQty|RawMatId|description|manufacturing_description|finish|DrawingNumber|MSGR_TAG|Tag_Name|Cut_Length|Cut_Width|Length|Width|Thickness|QtyPerShipAssy|Parent_Frame_Width|MA_ID_Tag|ExtendedQty|finish_family|startHonch|endHonch|glasswipe_size|midCondition|DWL_MadonnaExtrusion_A|DWL_MadonnaExtrusion_B|DWL_AntlerExtrusion_A|DWL_AntlerExtrusion_B|DWL_ThiefHangerExtrusion_A|DWL_ThiefHangerExtrusion_B|DWL_FatMadonnaExtrusion_A|DWL_FatMadonnaExtrusion_B|Clip_Line|VerticalClip_Line|DWL_UFOExtrusion_A|DWL_MiniMuntinExtrusion_A|DWL_MicroMuntinExtrusion_A|WT_Cut1_Type|WT_Cut1_Vert|WT_Cut1_Hor|WT_Cut2_Type|WT_Cut2_Vert|WT_Cut2_Hor|WT_Cut3_Type|WT_Cut3_Vert|WT_Cut3_Hor|WT_Cut4_Type|WT_Cut4_Vert|WT_Cut4_Hor|WT_Cut5_Type|WT_Cut5_Vert|WT_Cut5_Hor|WT_Cut6_Type|WT_Cut6_Vert|WT_Cut6_Hor|DWL_WillyExtrusion_A|DWL_BoxcarExtrusion_A|DWL_XWillyExtrusion_A|DWL_PartialAntlerExt_A|DWL_PartialAntlerExt_B|DWL_Part_UFO_A|DWL_PrtPiranha_A|DWL_BD_ClereStory_BladeUFO|DWL_BladeBoxcarExtrusion|DWL_BladePartialPiranhaExtrusion|DWL_BladePartialUFOExtrusion|DWL_BladeUFOExtrusion|DWL_BladeWillyExtrusion|DWL_ET_BoxcarExtrusion|DWL_ET_PartialPiranhaExtrusion|DWL_ET_PartialUFOExtrusion|DWL_ET_UFOExtrusion|DWL_ET_WillyExtrusion|DWL_Hydro_BladeWillyExtrusion|Stack_Drill|Stack_Slot|WT_Hanger|WT_Cut1_Height|WT_Cut1_Width|WT_Cut2_Height|WT_Cut2_Width|WT_Cut3_Height|WT_Cut3_Width|WT_Cut4_Height|WT_Cut4_Width|WT_Cut5_Height|WT_Cut5_Width|WT_Cut6_Height|WT_Cut6_Width|Elevation|Manufacture_Ready|is_report_only|is_angry|angry_reasons|miter_angle_start|miter_angle_end|Assembly_Name|LineNo|ParentLineNo|WT_Split_Dim|Option|Overage|ReportNodeType|Class|Hinge_Locations|Electrical_A|Electrical_B|SFN Per Item|SFN Total|Custom_Hole_A|Custom_Hole_B|Custom_Hole2_A|Custom_Hole2_B|DVN_Angle_Left|DVN_Angle_Right|DVN_Length2|Typical_UUID
DWL_BD_TrackV4|||Barn Door Track V4|Left Hand/Right Hand|||BDT3||||2089||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|TRUE||0||||DWL_BD_TrackV4_ASSY|50000|-1||||||||||||||||||
DWL_BD_TrackV4|1|11300|Barn Door Track V4|Anodized; DIM_A=238.9|ANO|92730|BDT3||2089||2089|||1|||1|ANO||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|TRUE|FALSE|0||90|90||50001|50000||||||||||||||||||
DWL_BD_TrackCoverV4|1|11301|Barn Door Track Cover V4|Anodized|ANO||BDT3||2089||2089|||1|||1|ANO||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|TRUE|FALSE|0||90|90||50002|50000||||||||||||||||||
DWL_IPO|1||Slim Track Drywall Cleat Rear|DIM_A=238.9||92733;92734|BDT3||2049||2049|||1|||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|TRUE|FALSE|0|||||50003|50000||||||||||||||||||
DWL_IPO|1||Slim Track Drywall Cleat Tab|||92733;92735|BDT3|||||||9|||9|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|TRUE|FALSE|0|||||50004|50000||||||||||||||||||
DWL_BD_SoftClose|1|93365|Soft Close Cassette|Soft Close Cassette|||BDT3|||||||2|||2|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|TRUE|FALSE|0|299-Soft_warn - Unmatched Powdercoat||||50005|50000||||||||||||||||||
DWL_BD_Engage_Catch|1|16628|Soft Close Engagement Catch|Soft Close Engagement Catch|||BDT3|||||||2|||2|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|TRUE|FALSE|0|299-Soft_warn - Unmatched Powdercoat||||50006|50000||||||||||||||||||
DWL_BD_TrackCapV4_LH|1|16671|Barn Door Track Cap V4 LH|Powder Coated; Grade 2; DIRTT Powder Coat Grade 2 - Shimmer DPM50|DP50||BDT3|||||||1|||1|PWD||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|TRUE|FALSE|0|||||50007|50000||||||||||||||||||
DWL_BD_TrackCapV4_RH|1|16672|Barn Door Track Cap V4 RH|Powder Coated; Grade 2; DIRTT Powder Coat Grade 2 - Shimmer DPM50|DP50||BDT3|||||||1|||1|PWD||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|TRUE|FALSE|0|||||50008|50000||||||||||||||||||
DWL_BD_RibGuideZipW|||Barn Door Guide Zipper Wall Trim - Silver (3048mm lengths)|Barn Door Guide Zipper Wall Trim - Silver|||Z2||||3048||||||1|PVC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|TRUE||0|44-STOP_WARN - Tile to small _,_ 90-Info_warn - Non-standard door size|||DWL_BD_RibGuideZipW_ASSY|101|-1||DWL_WT_RibZipper_Silver|(1 + 1)|FakeShippableAssemblyNode|BarnDoorZipper|||||||||||||
DWL_BD_RibGuideZipW|1|16849|Barn Door Guide Zipper Wall Trim - Silver (3048mm lengths)|Barn Door Guide Zipper Wall Trim - Silver|||Z2||3048||3048|||2|||2|PVC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|TRUE|FALSE|0|44-STOP_WARN - Tile to small _,_ 90-Info_warn - Non-standard door size||||102|101||DWL_WT_RibZipper_Silver|(1 + 1)|FakeShippableNode|BarnDoorZipper||||16.94|33.88||||||||
DWL_BD_StrikeZipperW|||Barn Door Strike Wall Trim - Silver (3048mm lengths)|Barn Door Strike Wall Trim - Silver|||Z1||||3048||||||1|PVC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|TRUE||0|44-STOP_WARN - Tile to small _,_ 90-Info_warn - Non-standard door size|||DWL_BD_StrikeZipperW_ASSY|95|-1||DWL_BD_StrikeWallTrim_Silver|(1 + 1)|FakeShippableAssemblyNode|BarnDoorZipper|||||||||||||
DWL_BD_StrikeZipperW|1|16797|Barn Door Strike Wall Trim - Silver (3048mm lengths)|Barn Door Strike Wall Trim - Silver|||Z1||3048||3048|||2|||2|PVC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|TRUE|FALSE|0|44-STOP_WARN - Tile to small _,_ 90-Info_warn - Non-standard door size||||96|95||DWL_BD_StrikeWallTrim_Silver|(1 + 1)|FakeShippableNode|BarnDoorZipper||||19.31|38.62||||||||
